Date,^GDAXI,^GSPC,^N225
2020-05-19,11075.2900390625,2922.93994140625,20433.44921875
2020-05-20,11223.7099609375,2971.610107421875,20595.150390625
2020-05-21,11065.9296875,2948.510009765625,20552.310546875
2020-05-22,11073.8701171875,2955.449951171875,20388.16015625
2020-05-25,11391.2802734375,,20741.650390625
2020-05-26,11504.650390625,2991.77001953125,21271.169921875
2020-05-27,11657.6904296875,3036.1298828125,21419.23046875
2020-05-28,11781.1298828125,3029.72998046875,21916.310546875
2020-05-29,11586.849609375,3044.31005859375,21877.890625
2020-06-01,,3055.72998046875,22062.390625
2020-06-02,12021.2802734375,3080.820068359375,22325.609375
2020-06-03,12487.3603515625,3122.8701171875,22613.759765625
2020-06-04,12430.5595703125,3112.35009765625,22695.740234375
2020-06-05,12847.6796875,3193.929931640625,22863.73046875
2020-06-08,12819.58984375,3232.389892578125,23178.099609375
2020-06-09,12617.990234375,3207.179931640625,23091.029296875
2020-06-10,12530.16015625,3190.139892578125,23124.94921875
2020-06-11,11970.2900390625,3002.10009765625,22472.91015625
2020-06-12,11949.2802734375,3041.31005859375,22305.48046875
2020-06-15,11911.349609375,3066.590087890625,21530.94921875
2020-06-16,12315.66015625,3124.739990234375,22582.2109375
2020-06-17,12382.1396484375,3113.489990234375,22455.759765625
2020-06-18,12281.5302734375,3115.340087890625,22355.4609375
2020-06-19,12330.759765625,3097.739990234375,22478.7890625
2020-06-22,12262.9697265625,3117.860107421875,22437.26953125
2020-06-23,12523.759765625,3131.2900390625,22549.05078125
2020-06-24,12093.9404296875,3050.330078125,22534.3203125
2020-06-25,12177.8701171875,3083.760009765625,22259.7890625
2020-06-26,12089.3896484375,3009.050048828125,22512.080078125
2020-06-29,12232.1201171875,3053.239990234375,21995.0390625
2020-06-30,12310.9296875,3100.2900390625,22288.140625
2020-07-01,12260.5703125,3115.860107421875,22121.73046875
2020-07-02,12608.4599609375,3130.010009765625,22145.9609375
2020-07-03,12528.1796875,,22306.48046875
2020-07-06,12733.4501953125,3179.719970703125,22714.439453125
2020-07-07,12616.7998046875,3145.320068359375,22614.689453125
2020-07-08,12494.8095703125,3169.93994140625,22438.650390625
2020-07-09,12489.4599609375,3152.050048828125,22529.2890625
2020-07-10,12633.7099609375,3185.0400390625,22290.810546875
2020-07-13,12799.9697265625,3155.219970703125,22784.740234375
2020-07-14,12697.3603515625,3197.52001953125,22587.009765625
2020-07-15,12930.98046875,3226.56005859375,22945.5
2020-07-16,12874.9697265625,3215.570068359375,22770.359375
2020-07-17,12919.6103515625,3224.72998046875,22696.419921875
2020-07-20,13046.919921875,3251.840087890625,22717.48046875
2020-07-21,13171.830078125,3257.300048828125,22884.220703125
2020-07-22,13104.25,3276.02001953125,22751.609375
2020-07-23,13103.3896484375,3235.659912109375,
2020-07-24,12838.0595703125,3215.6298828125,
2020-07-27,12838.66015625,3239.409912109375,22715.849609375
2020-07-28,12835.2802734375,3218.43994140625,22657.380859375
2020-07-29,12822.259765625,3258.43994140625,22397.109375
2020-07-30,12379.650390625,3246.219970703125,22339.23046875
2020-07-31,12313.3603515625,3271.1201171875,21710.0
2020-08-03,12646.98046875,3294.610107421875,22195.380859375
2020-08-04,12600.8701171875,3306.510009765625,22573.66015625
2020-08-05,12660.25,3327.77001953125,22514.849609375
2020-08-06,12591.6796875,3349.159912109375,22418.150390625
2020-08-07,12674.8798828125,3351.280029296875,22329.939453125
2020-08-10,12687.5302734375,3360.469970703125,
2020-08-11,12946.8896484375,3333.68994140625,22750.240234375
2020-08-12,13058.6298828125,3380.35009765625,22843.9609375
2020-08-13,12993.7099609375,3373.429931640625,23249.609375
2020-08-14,12901.33984375,3372.85009765625,23289.359375
2020-08-17,12920.66015625,3381.989990234375,23096.75
2020-08-18,12881.759765625,3389.780029296875,23051.080078125
2020-08-19,12977.330078125,3374.85009765625,23110.609375
2020-08-20,12830.0,3385.510009765625,22880.619140625
2020-08-21,12764.7998046875,3397.159912109375,22920.30078125
2020-08-24,13066.5400390625,3431.280029296875,22985.509765625
2020-08-25,13061.6201171875,3443.6201171875,23296.76953125
2020-08-26,13190.150390625,3478.72998046875,23290.859375
2020-08-27,13096.3603515625,3484.550048828125,23208.859375
2020-08-28,13033.2001953125,3508.010009765625,22882.650390625
2020-08-31,12945.3798828125,3500.31005859375,23139.759765625
2020-09-01,12974.25,3526.64990234375,23138.0703125
2020-09-02,13243.4296875,3580.840087890625,23247.150390625
2020-09-03,13057.76953125,3455.06005859375,23465.529296875
2020-09-04,12842.66015625,3426.9599609375,23205.4296875
2020-09-07,13100.2802734375,,23089.94921875
2020-09-08,12968.330078125,3331.840087890625,23274.130859375
2020-09-09,13237.2099609375,3398.9599609375,23032.5390625
2020-09-10,13208.8896484375,3339.18994140625,23235.470703125
2020-09-11,13202.83984375,3340.969970703125,23406.490234375
2020-09-14,13193.66015625,3383.5400390625,23559.30078125
2020-09-15,13217.669921875,3401.199951171875,23454.890625
2020-09-16,13255.3701171875,3385.489990234375,23475.529296875
2020-09-17,13208.1201171875,3357.010009765625,23319.369140625
2020-09-18,13116.25,3319.469970703125,23360.30078125
2020-09-21,12542.4404296875,3281.06005859375,
2020-09-22,12594.3896484375,3315.570068359375,
2020-09-23,12642.9697265625,3236.919921875,23346.490234375
2020-09-24,12606.5703125,3246.590087890625,23087.8203125
2020-09-25,12469.2001953125,3298.4599609375,23204.619140625
2020-09-28,12870.8701171875,3351.60009765625,23511.619140625
2020-09-29,12825.8203125,3335.469970703125,23539.099609375
2020-09-30,12760.73046875,3363.0,23185.119140625
2020-10-01,12730.76953125,3380.800048828125,
2020-10-02,12689.0400390625,3348.419921875,23029.900390625
2020-10-05,12828.3095703125,3408.60009765625,23312.140625
2020-10-06,12906.01953125,3360.969970703125,23433.73046875
